Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
12289029843,"Aug 30, 2024, 3:29:32 PM",Evening Pilates,Workout,,905,0,,,false,,,activities/13100204348.fit.gz,,,905.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,79.0,68.0,,,,,53.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,12.0,,,,,,""
12289029913,"Aug 30, 2024, 4:01:19 PM",Evening Run,Run,,1316,3.02,,,false,,,activities/13100204349.fit.gz,,,1316.0,1316.0,3024.2,3.479,2.298,16.0,19.0,3.4,20.2,12.9,-0.1,,,99.0,74.0,,,,,236.0,,,,,,,,,,,,,,,,0.0,,1.0,3049.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.298,2262.9,,,,3226.0,,,,,2.317,,,,,,,,""
12289029984,"Aug 29, 2024, 4:24:06 PM",Evening Workout,Workout,,964,0,,,false,,,activities/13100204451.fit.gz,,,964.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,106.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,254.0,,,,,,""
12289035192,"Aug 28, 2024, 4:02:56 PM",Evening Ride,Ride,,3616,9.75,,,false,,,activities/13100209955.fit.gz,,,3616.0,1977.0,9753.0,8.552,4.933,39.0,39.0,-5.4,13.6,19.7,0.0,,,,,,,,,247.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.697,1718.7,,,,,,,,,,,,,,,,,""
12289035376,"Aug 26, 2024, 2:48:53 PM",Afternoon Run,Run,,2318,6.10,,,false,,,activities/13100209999.fit.gz,,,2318.0,2318.0,6104.6,3.196,2.634,25.0,25.0,2.6,22.2,8.2,0.0,,,80.0,75.0,,,,,488.0,,,,,,,,,,,,,,,,0.0,,1.0,6152.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.634,1758.7,,,,5726.0,,,,,2.654,,,,,,,,""
12289035604,"Jul 10, 2024, 3:47:11 PM",Evening Run,Run,,732,2.01,,,false,,,activities/13100210389.fit.gz,,,732.0,732.0,2010.4,3.554,2.746,7.0,5.0,10.2,15.8,15.0,0.2,,,78.0,75.0,,,,,156.0,,,,,,,,,,,,,,,,0.0,,1.0,2027.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.746,1027.0,,,,1824.0,,,,,2.769,,,,,,,,""
12289035606,"Aug 12, 2024, 2:48:55 PM",Afternoon Workout,Workout,,1108,0,,,false,,,activities/13100210427.fit.gz,,,1108.0,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,154.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,304.0,,,,,,""
12289035608,"Jul 21, 2024, 4:32:40 PM",Evening Ride,Ride,,891,3.97,,,false,,,activities/13100210311.fit.gz,,,891.0,876.0,3975.9,7.05,4.539,12.0,24.0,0.6,21.0,7.0,-0.3,,,,,,,,,96.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.462,2080.8,,,,,,,,,,,,,,,,,""
12289035615,"Aug 5, 2024, 12:12:58 PM",Afternoon Hike,Hike,,370,0.38,,,false,,,activities/13100210391.fit.gz,,,370.0,370.0,381.7,1.303,1.032,2.0,2.0,799.6,803.6,8.1,-0.4,,,52.0,49.0,,,,,53.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.032,0.0,,,,580.0,,,,,,,580.0,,,,,,""
12289035617,"Jun 10, 2024, 3:51:34 PM",Evening Walk,Walk,,664,1.10,,,false,,,activities/13100210346.fit.gz,,,664.0,664.0,1106.8,2.174,1.667,6.0,2.0,11.4,20.4,12.3,0.3,,,59.0,56.0,,,,,75.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.667,489.7,,,,1254.0,,,,,,,,,,,,,""
