Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
11092896864,"Jan 13, 2024, 8:05:17 AM",Morning Workout,Workout,,3490,0,,,false,,,activities/11857596747.fit.gz,,,3490.0,3490.0,0.0,0.0,0.0,0.0,0.0,10.4,10.4,0.0,0.0,,,,,,,,,527.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
11092896867,"Jan 20, 2024, 6:12:10 PM",Evening Pilates,Workout,,907,0,,,false,,,activities/11857596739.fit.gz,,,907.0,907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,83.0,62.0,,,,,75.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
11092896870,"Jan 30, 2024, 3:45:09 PM",Afternoon Workout,Workout,,3567,0,,,false,,,activities/11857596748.fit.gz,,,3567.0,3567.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,,,,,,,,,459.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
11092896871,"Jan 20, 2024, 5:53:44 PM",Evening Workout,Workout,,909,0,,,false,,,activities/11857596768.fit.gz,,,909.0,909.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,0.0,0.0,,,,,,,,,123.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
11092896878,"Mar 23, 2024, 8:58:56 AM",Morning Ride,Ride,,1850,5.37,,,false,,,activities/11857596744.fit.gz,,,1850.0,1574.0,5375.6,7.336,3.415,26.0,31.0,46.6,61.8,7.8,-0.1,,,,,,,,,221.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.906,2715.0,,,,,,,,,,,,,,,,,""
11092896903,"Jan 27, 2024, 8:01:04 AM",Morning Workout,Workout,,3853,0,,,false,,,activities/11857596749.fit.gz,,,3853.0,3853.0,0.0,0.0,0.0,0.0,0.0,16.4,16.4,0.0,0.0,,,,,,,,,389.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
11092896923,"Mar 3, 2024, 1:02:06 PM",Afternoon Ride,Ride,,4823,23.85,,,false,,,activities/11857596742.fit.gz,,,4823.0,4646.0,23851.7,9.184,5.134,101.0,99.0,8.2,36.4,9.4,0.0,,,,,,,,,683.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.945,4143.6,,,,,,,,,,,,,,,,,""
11092896925,"Mar 24, 2024, 12:09:07 PM",Afternoon Walk,Walk,,4779,7.08,,,false,,,activities/11857596761.fit.gz,,,4779.0,4565.0,7080.5,3.22,1.551,48.0,48.0,18.4,31.4,18.8,0.0,,,122.0,61.0,,,,,454.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.482,590.9,,,,8848.0,,,,,,,,,,,,,""
11092896929,"Jan 9, 2024, 3:53:35 PM",Afternoon Workout,Workout,,3250,0,,,false,,,activities/11857596751.fit.gz,,,3250.0,3250.0,0.0,0.0,0.0,0.0,0.0,18.2,18.2,0.0,0.0,,,,,,,,,383.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
11092896931,"Feb 20, 2024, 2:54:43 PM",Afternoon Ride,Ride,,870,2.04,,,false,,,activities/11857596738.fit.gz,,,870.0,603.0,2041.9,7.892,3.386,9.0,11.0,225.6,233.4,11.1,0.2,,,,,,,,,106.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.347,493.0,,,,,,,,,,,,,,,,,""
