Relative Effort,Average Heart Rate,Average Speed,Distance,Elapsed Time,Elevation Gain,Activity Name,Intensity
6.000000,127.000000,0.000000,0.000000,1213,0.000000,Evening HIIT,Keskiverto
5.000000,125.000000,0.000000,0.000000,1050,0.000000,Evening HIIT,Kevyt
27.000000,131.000000,4.133000,13.210000,4480,71.000000,Evening Ride,Keskiverto
3.000000,122.000000,4.177000,3.520000,1016,7.000000,Afternoon Ride,Kevyt
5.000000,126.000000,4.994000,5.020000,1046,7.000000,Afternoon Ride,Kevyt
26.000000,122.000000,4.214000,24.770000,7426,100.000000,Afternoon Ride,Keskiverto
4.000000,122.000000,0.000000,0.000000,948,0.000000,Afternoon HIIT,Kevyt
4.000000,122.000000,0.000000,0.000000,914,0.000000,Evening Workout,Kevyt
4.000000,118.000000,0.000000,0.000000,1117,0.000000,Evening HIIT,Kevyt
3.000000,112.000000,4.523000,4.270000,944,23.000000,Night Ride,Kevyt
4.000000,118.000000,4.230000,4.910000,1309,17.000000,Evening Ride,Kevyt
7.000000,99.000000,0.887000,2.800000,3667,22.000000,Afternoon Walk,Keskiverto
4.000000,122.000000,4.743000,4.970000,1073,17.000000,Evening Ride,Kevyt
5.000000,117.000000,3.720000,5.220000,1662,24.000000,Morning Ride,Kevyt
14.000000,117.000000,4.275000,17.280000,4180,56.000000,Night Ride,Keskiverto
18.000000,119.000000,4.117000,18.390000,8532,71.000000,Evening Ride,Keskiverto
4.000000,126.000000,0.000000,0.000000,909,0.000000,Evening HIIT,Kevyt
2.000000,123.000000,0.000000,0.000000,638,0.000000,Afternoon Workout,Kevyt
8.000000,133.000000,0.000000,0.000000,1023,0.000000,Afternoon HIIT,Keskiverto
5.000000,122.000000,0.000000,0.000000,1221,0.000000,Evening HIIT,Kevyt
11.000000,96.000000,0.000000,0.000000,4845,0.000000,Lunch HIIT,Keskiverto
9.000000,130.000000,0.000000,0.000000,1234,0.000000,Evening HIIT,Keskiverto
1.000000,96.000000,1.521000,0.910000,600,4.000000,Evening Walk,Kevyt
3.000000,110.000000,4.611000,4.830000,1081,33.000000,Lunch Ride,Kevyt
5.000000,101.000000,1.344000,0.000000,2273,10.500000,Evening Row,Kevyt
4.000000,106.000000,4.202000,5.930000,4624,35.000000,Evening Ride,Kevyt
15.000000,123.000000,4.502000,14.710000,3768,104.000000,Evening Ride,Keskiverto
13.000000,119.000000,4.849000,18.460000,4176,139.000000,Afternoon Ride,Keskiverto
3.000000,89.000000,1.419000,0.000000,1682,26.100000,Evening Row,Kevyt
3.000000,117.000000,0.000000,0.000000,891,0.000000,Afternoon Weight Training,Kevyt
4.000000,126.000000,4.671000,5.050000,1082,17.000000,Evening Ride,Kevyt
10.000000,133.000000,0.000000,0.000000,1002,0.000000,Evening HIIT,Keskiverto
7.000000,96.000000,0.886000,2.880000,3778,44.000000,Lunch Walk,Keskiverto
6.000000,125.000000,4.622000,4.850000,1099,30.000000,Afternoon Ride,Keskiverto
1.000000,118.000000,0.000000,0.000000,389,0.000000,Evening HIIT,Kevyt
19.000000,120.000000,3.948000,18.920000,5743,101.000000,Evening Ride,Keskiverto
5.000000,132.000000,4.488000,2.860000,685,8.000000,Night Ride,Kevyt
6.000000,126.000000,4.477000,4.880000,1166,23.000000,Afternoon Ride,Keskiverto
3.000000,110.000000,4.316000,4.860000,1245,31.000000,Afternoon Ride,Kevyt
3.000000,126.000000,3.751000,2.470000,722,11.000000,Afternoon Ride,Kevyt
18.000000,123.000000,3.497000,12.410000,3945,83.000000,Evening Ride,Keskiverto
11.000000,118.000000,3.497000,10.380000,3343,35.000000,Afternoon Ride,Keskiverto
9.000000,136.000000,0.000000,0.000000,990,0.000000,Evening HIIT,Keskiverto
6.000000,126.000000,0.000000,0.000000,1285,0.000000,Evening HIIT,Keskiverto
2.000000,114.000000,4.437000,3.970000,973,11.000000,Afternoon Ride,Kevyt
8.000000,128.000000,4.805000,6.040000,1257,18.000000,Evening Ride,Keskiverto
7.000000,114.000000,4.682000,10.120000,5474,17.000000,Afternoon Ride,Keskiverto
4.000000,127.000000,4.595000,5.020000,1117,13.000000,Evening Ride,Kevyt
16.000000,120.000000,3.819000,15.400000,6927,75.000000,Afternoon Ride,Keskiverto
8.000000,120.000000,4.590000,10.100000,3288,86.000000,Afternoon Ride,Keskiverto
2.000000,109.000000,0.000000,0.000000,885,0.000000,Evening HIIT,Kevyt
14.000000,126.000000,4.758000,11.180000,3711,37.000000,Lunch Ride,Keskiverto
5.000000,126.000000,4.993000,5.070000,1017,8.000000,Afternoon Ride,Kevyt
3.000000,103.000000,4.362000,5.390000,1438,26.000000,Afternoon Ride,Kevyt
22.000000,132.000000,4.435000,12.070000,3672,60.000000,Evening Ride,Keskiverto
14.000000,111.000000,3.658000,16.860000,6833,127.000000,Evening Ride,Keskiverto
2.000000,89.000000,0.000000,0.000000,1032,0.000000,Evening HIIT,Kevyt
7.000000,106.000000,3.583000,9.990000,2888,79.000000,Evening Ride,Keskiverto
4.000000,113.000000,0.000000,0.000000,1239,0.000000,Afternoon Workout,Kevyt
45.000000,147.000000,2.634000,5.630000,2139,30.000000,Evening Run,Rankka
4.000000,115.000000,0.000000,0.000000,1230,0.000000,Afternoon Workout,Kevyt
14.000000,107.000000,4.322000,21.810000,7321,114.000000,Evening Ride,Keskiverto
3.000000,119.000000,4.735000,4.670000,1072,22.000000,Lunch Ride,Kevyt
17.000000,133.000000,0.000000,0.000000,2380,0.000000,Lunch Workout,Keskiverto
3.000000,141.000000,0.000000,0.000000,300,0.000000,Lunch Workout,Kevyt
4.000000,125.000000,4.909000,4.940000,1064,30.000000,Lunch Ride,Kevyt
2.000000,100.000000,0.000000,0.000000,902,0.000000,Afternoon Workout,Kevyt
60.000000,157.000000,2.686000,5.550000,2067,23.000000,Evening Run,Rankka
35.000000,151.000000,2.692000,4.060000,1511,22.000000,Lunch Run,Rankka
2.000000,95.000000,0.000000,0.000000,1206,0.000000,Afternoon Workout,Kevyt
42.000000,152.000000,2.721000,4.610000,1695,25.000000,Evening Run,Rankka
5.000000,106.000000,0.000000,0.000000,1781,0.000000,Afternoon Workout,Kevyt
67.000000,158.000000,2.764000,6.210000,2250,17.000000,Evening Run,Rankka
3.000000,99.000000,0.000000,0.000000,1481,0.000000,Afternoon Workout,Kevyt
20.000000,133.000000,0.000000,0.000000,2961,0.000000,Afternoon Workout,Keskiverto
67.000000,156.000000,2.660000,6.210000,2335,20.000000,Evening Run,Rankka
8.000000,94.000000,1.517000,5.730000,3843,30.000000,Evening Walk,Keskiverto
4.000000,103.000000,0.000000,0.000000,1532,0.000000,Evening Workout,Kevyt
78.000000,157.000000,2.649000,7.180000,2713,22.000000,Evening Run,Rankka
3.000000,103.000000,4.023000,4.940000,2003,35.000000,Afternoon Ride,Kevyt
3.000000,112.000000,4.398000,4.860000,1127,18.000000,Afternoon Ride,Kevyt
4.000000,106.000000,0.000000,0.000000,1666,0.000000,Afternoon Workout,Kevyt
88.000000,156.000000,2.711000,8.340000,3076,37.000000,Afternoon Run,Rankka
8.000000,91.000000,1.156000,4.730000,7426,71.000000,Afternoon Walk,Keskiverto
4.000000,102.000000,0.000000,0.000000,1546,0.000000,Afternoon Workout,Kevyt
70.000000,158.000000,2.815000,6.550000,2330,25.000000,Afternoon Run,Rankka
5.000000,109.000000,0.000000,0.000000,1743,0.000000,Afternoon Workout,Kevyt
5.000000,111.000000,0.000000,0.000000,1853,0.000000,Evening Workout,Kevyt
83.000000,158.000000,2.535000,6.340000,2503,49.000000,Evening Run,Rankka
5.000000,111.000000,0.000000,0.000000,1800,0.000000,Evening Workout,Kevyt
4.000000,119.000000,5.175000,6.540000,2331,19.000000,Afternoon Ride,Kevyt
119.000000,157.000000,2.480000,10.150000,4093,30.000000,Evening Run,Rankka
4.000000,101.000000,0.000000,0.000000,1589,0.000000,Evening Workout,Kevyt
59.000000,150.000000,2.566000,6.520000,2543,27.000000,Evening Run,Rankka
5.000000,111.000000,0.000000,0.000000,1680,0.000000,Evening Workout,Kevyt
4.000000,109.000000,0.000000,0.000000,1201,0.000000,Evening Workout,Kevyt
4.000000,107.000000,0.000000,0.000000,1401,0.000000,Evening Workout,Kevyt
5.000000,110.000000,0.000000,0.000000,1930,0.000000,Evening Workout,Kevyt
2.000000,98.000000,0.000000,0.000000,1210,0.000000,Afternoon Workout,Kevyt
4.000000,105.000000,0.000000,0.000000,1656,0.000000,Evening Workout,Kevyt
7.000000,103.000000,1.122000,3.130000,3454,94.000000,Afternoon Walk,Keskiverto
30.000000,124.000000,3.154000,19.480000,10939,276.000000,Morning Ride,Keskiverto
3.000000,117.000000,2.934000,2.340000,1552,11.000000,Afternoon Ride,Kevyt
1.000000,94.000000,1.199000,1.030000,858,16.000000,Evening Walk,Kevyt
18.000000,113.000000,2.050000,11.360000,9583,159.000000,Lunch Nordic Ski,Keskiverto
5.000000,117.000000,1.837000,2.450000,2154,49.000000,Afternoon Nordic Ski,Kevyt
3.000000,110.000000,1.350000,1.580000,1904,25.000000,Evening Walk,Kevyt
3.000000,113.000000,4.460000,4.300000,3251,0.000000,Afternoon Alpine Ski,Kevyt
4.000000,101.000000,1.300000,2.170000,3063,30.000000,Afternoon Walk,Kevyt
5.000000,111.000000,0.000000,0.000000,1688,0.000000,Afternoon Workout,Kevyt
6.000000,109.000000,0.000000,0.000000,1805,0.000000,Lunch Workout,Keskiverto
5.000000,94.000000,1.421000,3.410000,2404,30.000000,Afternoon Walk,Kevyt
19.000000,124.000000,0.000000,0.000000,3271,0.000000,Evening Workout,Keskiverto
23.000000,115.000000,0.000000,0.000000,4478,0.000000,Evening Workout,Keskiverto
3.000000,101.000000,1.388000,2.070000,1497,2.000000,Afternoon Walk,Kevyt
15.000000,109.000000,0.000000,0.000000,4299,0.000000,Evening Workout,Keskiverto
22.000000,121.000000,0.000000,0.000000,4577,0.000000,Evening Workout,Keskiverto
27.000000,129.000000,0.000000,0.000000,4023,0.000000,Evening Workout,Keskiverto
2.000000,100.000000,1.524000,1.560000,1028,13.000000,Afternoon Walk,Kevyt
2.000000,108.000000,1.534000,1.450000,950,11.000000,Afternoon Walk,Kevyt
28.000000,125.000000,0.000000,0.000000,4644,0.000000,Evening Workout,Keskiverto
24.000000,124.000000,0.000000,0.000000,4080,0.000000,Morning Workout,Keskiverto
31.000000,130.000000,0.000000,0.000000,3957,0.000000,Afternoon Workout,Keskiverto
8.000000,87.000000,0.000000,0.000000,4422,0.000000,Lunch Workout,Keskiverto
51.000000,144.000000,0.000000,0.000000,3541,0.000000,Afternoon Workout,Rankka
26.000000,129.000000,0.000000,0.000000,3721,0.000000,Afternoon Workout,Keskiverto
19.000000,124.000000,0.000000,0.000000,4044,0.000000,Afternoon Workout,Keskiverto
10.000000,114.000000,0.000000,0.000000,3060,0.000000,Afternoon Workout,Keskiverto
16.000000,92.000000,0.000000,0.000000,7592,79.000000,Afternoon Rock Climb,Keskiverto
0.000000,123.000000,4.607000,1.120000,429,11.000000,Afternoon Ride,Kevyt
33.000000,132.000000,0.000000,0.000000,3890,0.000000,Afternoon Workout,Rankka
2.000000,128.000000,4.184000,1.480000,454,13.000000,Evening Ride,Kevyt
23.000000,125.000000,0.000000,0.000000,3431,0.000000,Afternoon Workout,Keskiverto
38.000000,135.000000,0.000000,0.000000,3799,0.000000,Afternoon Workout,Rankka
2.000000,101.000000,4.067000,4.360000,1260,39.000000,Afternoon Ride,Kevyt
5.000000,118.000000,4.475000,6.170000,2282,20.000000,Afternoon Ride,Kevyt
9.000000,122.000000,4.829000,9.110000,2276,39.000000,Afternoon Ride,Keskiverto
31.000000,136.000000,0.000000,0.000000,3683,0.000000,Afternoon Workout,Keskiverto
7.000000,115.000000,0.000000,0.000000,1814,0.000000,Afternoon Workout,Keskiverto
20.000000,123.000000,0.000000,0.000000,3778,0.000000,Afternoon Workout,Keskiverto
26.000000,131.000000,0.000000,0.000000,3719,0.000000,Afternoon Workout,Keskiverto
6.000000,105.000000,1.389000,3.130000,2256,18.000000,Afternoon Walk,Keskiverto
4.000000,107.000000,4.770000,6.730000,2442,21.000000,Afternoon Ride,Kevyt
17.000000,121.000000,0.000000,0.000000,3724,0.000000,Afternoon Workout,Keskiverto
28.000000,128.000000,0.000000,0.000000,3894,0.000000,Afternoon Workout,Keskiverto
7.000000,113.000000,4.562000,10.540000,3537,32.000000,Afternoon Ride,Keskiverto
32.000000,131.000000,0.000000,0.000000,4331,0.000000,Afternoon Workout,Keskiverto
7.000000,118.000000,0.000000,0.000000,1811,0.000000,Afternoon Workout,Keskiverto
35.000000,127.000000,0.000000,0.000000,4319,0.000000,Afternoon Workout,Rankka
13.000000,114.000000,4.733000,14.590000,4218,46.000000,Afternoon Ride,Keskiverto
3.000000,113.000000,4.532000,4.850000,1100,29.000000,Lunch Ride,Kevyt
3.000000,108.000000,5.358000,4.810000,989,25.000000,Afternoon Ride,Kevyt
30.000000,127.000000,0.000000,0.000000,3638,0.000000,Afternoon Workout,Keskiverto
13.000000,116.000000,0.000000,0.000000,3655,0.000000,Afternoon Workout,Keskiverto
15.000000,104.000000,3.848000,21.200000,8728,80.000000,Afternoon Ride,Keskiverto
33.000000,124.000000,0.000000,0.000000,5003,0.000000,Lunch Workout,Rankka
3.000000,90.000000,1.185000,2.130000,2077,9.000000,Afternoon Walk,Kevyt
0.000000,110.000000,3.869000,0.980000,412,11.000000,Afternoon Ride,Kevyt
54.000000,139.000000,0.000000,0.000000,4192,0.000000,Afternoon Workout,Rankka
1.000000,117.000000,4.014000,1.580000,395,12.000000,Evening Ride,Kevyt
0.000000,118.000000,5.189000,1.050000,317,13.000000,Afternoon Ride,Kevyt
20.000000,126.000000,0.000000,0.000000,3661,0.000000,Afternoon Workout,Keskiverto
8.000000,116.000000,4.269000,9.590000,4848,36.000000,Afternoon Ride,Keskiverto
32.000000,133.000000,0.000000,0.000000,3728,0.000000,Afternoon Workout,Keskiverto
26.000000,128.000000,0.000000,0.000000,3887,0.000000,Afternoon Workout,Keskiverto
33.000000,133.000000,0.000000,0.000000,3641,0.000000,Afternoon Workout,Rankka
32.000000,114.000000,4.053000,37.670000,11634,195.000000,Afternoon Ride,Keskiverto
24.000000,127.000000,0.000000,0.000000,3659,0.000000,Afternoon Workout,Keskiverto
19.000000,121.000000,0.000000,0.000000,3468,0.000000,Afternoon Workout,Keskiverto
10.000000,103.000000,3.611000,14.360000,6855,56.000000,Afternoon Ride,Keskiverto
15.000000,108.000000,0.000000,0.000000,4448,0.000000,Evening Workout,Keskiverto
26.000000,130.000000,0.000000,0.000000,3621,0.000000,Afternoon Workout,Keskiverto
27.000000,129.000000,0.000000,0.000000,4028,0.000000,Afternoon Workout,Keskiverto
17.000000,122.000000,0.000000,0.000000,3636,0.000000,Afternoon Workout,Keskiverto
15.000000,109.000000,4.259000,21.500000,13814,131.000000,Afternoon Ride,Keskiverto
16.000000,125.000000,0.000000,0.000000,3498,0.000000,Afternoon Workout,Keskiverto
2.000000,105.000000,4.930000,4.870000,2070,21.000000,Evening Ride,Kevyt
31.000000,112.000000,3.883000,37.420000,13099,166.000000,Afternoon Ride,Keskiverto
6.000000,109.000000,4.744000,10.810000,3858,44.000000,Evening Ride,Keskiverto
3.000000,100.000000,1.403000,1.860000,1331,7.000000,Lunch Walk,Kevyt
15.000000,99.000000,1.050000,0.000000,6307,58.000000,Evening Row,Keskiverto
3.000000,100.000000,1.319000,1.690000,1301,5.000000,Afternoon Walk,Kevyt
3.000000,82.000000,1.163000,2.430000,2402,30.000000,Lunch Walk,Kevyt
6.000000,118.000000,0.000000,0.000000,1467,0.000000,Evening Workout,Keskiverto
12.000000,108.000000,4.041000,15.860000,5724,74.000000,Afternoon Ride,Keskiverto
3.000000,107.000000,4.056000,4.650000,1203,18.000000,Evening Ride,Kevyt
2.000000,86.000000,4.494000,4.890000,1088,9.000000,Afternoon Ride,Kevyt
34.000000,130.000000,0.000000,0.000000,4198,0.000000,Lunch HIIT,Rankka
20.000000,120.000000,0.000000,0.000000,3282,0.000000,Lunch Workout,Keskiverto
4.000000,110.000000,1.317000,1.750000,1334,5.000000,Afternoon Walk,Kevyt
10.000000,115.000000,4.460000,11.090000,4502,56.000000,Evening Ride,Keskiverto
4.000000,110.000000,1.256000,1.590000,1286,13.000000,Night Walk,Kevyt
32.000000,115.000000,0.937000,8.380000,12345,528.000000,Afternoon Walk,Keskiverto
4.000000,122.000000,1.695000,1.890000,1119,13.000000,Morning Walk,Kevyt
72.000000,116.000000,0.904000,14.650000,31171,610.000000,Morning Hike,Rankka
61.000000,111.000000,0.921000,14.830000,26918,547.000000,Morning Hike,Rankka
42.000000,113.000000,0.951000,10.630000,16248,271.000000,Lunch Hike,Rankka
34.000000,112.000000,0.814000,7.410000,14992,610.000000,Afternoon Hike,Rankka
16.000000,105.000000,0.810000,4.060000,8446,342.000000,Afternoon Hike,Keskiverto
1.000000,91.000000,4.394000,2.810000,704,7.000000,Afternoon Ride,Kevyt
2.000000,105.000000,4.825000,4.170000,865,23.000000,Afternoon Ride,Kevyt
2.000000,109.000000,3.905000,2.990000,766,7.000000,Afternoon Ride,Kevyt
56.000000,135.000000,0.000000,0.000000,3980,0.000000,Lunch Workout,Rankka
19.000000,117.000000,0.000000,0.000000,3882,0.000000,Afternoon Workout,Keskiverto
26.000000,115.000000,5.378000,27.750000,8934,131.000000,Evening Ride,Keskiverto
33.000000,116.000000,6.048000,37.850000,9081,203.000000,Evening Ride,Rankka
15.000000,118.000000,5.511000,18.110000,4383,82.000000,Evening Ride,Keskiverto
28.000000,122.000000,4.737000,18.170000,5945,87.000000,Evening Ride,Keskiverto
21.000000,121.000000,5.348000,18.330000,3759,80.000000,Evening Ride,Keskiverto
25.000000,121.000000,0.000000,0.000000,3419,0.000000,Evening Workout,Keskiverto
18.000000,119.000000,5.593000,17.290000,3158,74.000000,Evening Ride,Keskiverto
4.000000,111.000000,5.798000,5.890000,1783,29.000000,Evening Ride,Kevyt
27.000000,114.000000,0.000000,0.000000,4604,0.000000,Lunch Workout,Keskiverto
12.000000,108.000000,4.884000,16.870000,3605,119.000000,Evening Ride,Keskiverto
66.000000,135.000000,0.000000,0.000000,4013,0.000000,Afternoon Workout,Rankka
14.000000,108.000000,4.628000,19.300000,8056,126.000000,Afternoon Ride,Keskiverto
36.000000,127.000000,0.000000,0.000000,3619,0.000000,Afternoon Workout,Rankka
16.000000,118.000000,5.095000,15.650000,3640,80.000000,Evening Ride,Keskiverto
13.000000,93.000000,0.000000,0.000000,4718,0.000000,Afternoon Workout,Keskiverto
9.000000,116.000000,5.390000,11.250000,3457,61.000000,Evening Ride,Keskiverto
29.000000,123.000000,0.000000,0.000000,3920,0.000000,Afternoon Workout,Keskiverto
14.000000,108.000000,5.438000,21.080000,7074,111.000000,Evening Ride,Keskiverto
8.000000,112.000000,5.821000,12.580000,2162,53.000000,Evening Ride,Keskiverto
44.000000,127.000000,0.000000,0.000000,4306,0.000000,Afternoon Workout,Rankka
27.000000,113.000000,5.216000,34.330000,8130,141.000000,Afternoon Ride,Keskiverto
52.000000,144.000000,0.000000,0.000000,3242,0.000000,Evening Workout,Rankka
26.000000,121.000000,4.006000,21.910000,10124,123.000000,Evening Ride,Keskiverto
13.000000,107.000000,4.217000,18.960000,8571,76.000000,Evening Ride,Keskiverto
8.000000,96.000000,0.000000,0.000000,3731,0.000000,Afternoon Workout,Keskiverto
34.000000,131.000000,5.683000,24.460000,4538,114.000000,Evening Ride,Rankka
53.000000,141.000000,0.000000,0.000000,3501,0.000000,Morning Workout,Rankka
23.000000,153.000000,0.000000,0.000000,909,0.000000,Evening Workout,Keskiverto
9.000000,123.000000,5.115000,10.550000,3244,35.000000,Lunch Ride,Keskiverto
22.000000,120.000000,0.000000,0.000000,3720,0.000000,Afternoon Workout,Keskiverto
39.000000,136.000000,3.501000,12.560000,4028,88.000000,Evening Ride,Rankka
24.000000,129.000000,0.000000,0.000000,3334,0.000000,Morning Workout,Keskiverto
8.000000,132.000000,4.720000,4.980000,1706,36.000000,Afternoon Ride,Keskiverto
40.000000,139.000000,4.312000,12.540000,3011,58.000000,Afternoon Ride,Rankka
42.000000,137.000000,0.000000,0.000000,3500,0.000000,Morning Workout,Rankka
112.000000,145.000000,5.765000,34.730000,9779,150.000000,Afternoon Ride,Rankka
15.000000,120.000000,4.937000,18.550000,4137,85.000000,Afternoon Ride,Keskiverto
13.000000,114.000000,4.272000,17.460000,4203,184.000000,Night Ride,Keskiverto
15.000000,109.000000,0.000000,0.000000,4961,0.000000,Evening Workout,Keskiverto
23.000000,123.000000,0.000000,0.000000,4777,0.000000,Lunch Workout,Keskiverto
1.000000,98.000000,1.487000,0.890000,600,2.000000,Evening Walk,Kevyt
14.000000,129.000000,5.575000,13.460000,2616,67.000000,Afternoon Ride,Keskiverto
19.000000,120.000000,4.400000,22.560000,5894,80.000000,Evening Ride,Keskiverto
70.000000,139.000000,5.896000,30.560000,6763,152.000000,Afternoon Ride,Rankka
24.000000,123.000000,3.756000,16.710000,6957,75.000000,Afternoon Ride,Keskiverto
19.000000,127.000000,4.337000,12.930000,3583,81.000000,Evening Ride,Keskiverto
23.000000,119.000000,0.000000,0.000000,3570,0.000000,Evening Workout,Keskiverto
14.000000,109.000000,3.784000,16.960000,6829,100.000000,Evening Ride,Keskiverto
17.000000,110.000000,0.000000,0.000000,5427,0.000000,Afternoon Workout,Keskiverto
8.000000,95.000000,1.369000,0.000000,9565,38.300000,Evening Row,Keskiverto
10.000000,133.000000,4.630000,4.880000,1088,32.000000,Lunch Ride,Keskiverto
7.000000,117.000000,4.448000,8.020000,2483,24.000000,Afternoon Ride,Keskiverto
34.000000,129.000000,5.914000,27.790000,5063,121.000000,Evening Ride,Rankka
38.000000,134.000000,0.000000,0.000000,3700,0.000000,Afternoon Workout,Rankka
27.000000,157.000000,2.228000,2.020000,912,0.000000,Afternoon Run,Keskiverto
14.000000,109.000000,4.227000,18.900000,13096,62.000000,Afternoon Ride,Keskiverto
34.000000,125.000000,4.984000,26.390000,8327,201.000000,Lunch Ride,Rankka
33.000000,131.000000,0.000000,0.000000,3684,0.000000,Morning Workout,Rankka
5.000000,108.000000,3.672000,7.130000,2748,99.000000,Afternoon Ride,Kevyt
38.000000,122.000000,2.916000,19.340000,9353,45.000000,Evening Ride,Rankka
43.000000,133.000000,0.000000,0.000000,4270,0.000000,Afternoon Workout,Rankka
45.000000,128.000000,5.655000,39.420000,15038,152.000000,Afternoon Ride,Rankka
10.000000,109.000000,4.367000,15.330000,7363,53.000000,Evening Ride,Keskiverto
41.000000,114.000000,4.828000,54.910000,17489,265.000000,Afternoon Ride,Rankka
11.000000,109.000000,1.343000,0.000000,6628,39.700000,Afternoon Row,Keskiverto
43.000000,142.000000,6.286000,17.590000,3113,71.000000,Evening Ride,Rankka
41.000000,136.000000,0.000000,0.000000,3654,0.000000,Afternoon Workout,Rankka
9.000000,109.000000,3.914000,12.560000,6927,46.000000,Afternoon Ride,Keskiverto
28.000000,133.000000,0.000000,0.000000,3393,0.000000,Afternoon Workout,Keskiverto
15.000000,117.000000,4.568000,16.920000,8383,55.000000,Evening Ride,Keskiverto
24.000000,125.000000,5.265000,23.060000,4974,63.000000,Afternoon Ride,Keskiverto
245.000000,147.000000,4.461000,56.960000,18354,262.000000,Afternoon Ride,Rankka
43.000000,136.000000,0.000000,0.000000,3899,0.000000,Afternoon Workout,Rankka
7.000000,106.000000,1.550000,3.810000,2881,26.000000,Evening Walk,Keskiverto
